Date,Open,High,Low,Close,Adj Close,Volume
2010-03-24,108.519997,108.809998,108.220001,108.400002,82.589760,7075900
2010-03-25,108.989998,109.529999,108.320000,108.440002,82.620201,9526500
2010-03-26,108.629997,109.070000,108.129997,108.430000,82.612549,8859800
2010-03-29,108.790001,109.160004,108.669998,108.919998,82.985931,5886300
2010-03-30,109.010002,109.379997,108.669998,109.129997,83.145897,5781300
2010-03-31,108.820000,109.040001,108.320000,108.610001,82.749687,6078200
2010-04-01,109.239998,109.580002,108.660004,109.279999,83.260216,11474400
2010-04-05,109.589996,109.879997,109.250000,109.730003,83.603043,4237800
2010-04-06,109.449997,109.870003,109.279999,109.720001,83.595383,4407600
2010-04-07,109.550003,109.699997,108.519997,109.050003,83.084938,10894000
2010-04-08,108.709999,109.570000,108.500000,109.370003,83.328720,8764300
2010-04-09,109.519997,110.080002,109.410004,110.059998,83.854477,6013100
2010-04-12,110.139999,110.360001,109.980003,110.180000,83.945862,4366500
2010-04-13,110.000000,110.440002,109.529999,110.250000,83.999260,6104100
2010-04-14,110.599998,111.320000,110.430000,111.290001,84.791573,7987400
2010-04-15,111.080002,111.620003,111.040001,111.559998,84.997307,8664000
2010-04-16,111.260002,111.500000,109.699997,110.180000,84.014442,22103600
2010-04-19,109.860001,110.910004,109.739998,110.839996,84.517685,10482500
2010-04-20,111.220001,111.430000,110.779999,111.099998,84.715950,8901000
2010-04-21,111.139999,111.500000,110.690002,111.160004,84.761711,9115800
2010-04-22,110.610001,111.510002,110.150002,111.349998,84.906593,9946100
2010-04-23,111.290001,112.040001,111.050003,111.959999,85.371712,13873100
2010-04-26,112.110001,112.580002,112.019997,112.080002,85.463173,8015700
2010-04-27,111.760002,112.180000,109.730003,109.870003,83.778046,19874600
2010-04-28,110.379997,110.839996,109.690002,110.550003,84.296570,14833300
2010-04-29,110.940002,112.000000,110.919998,111.690002,85.165833,7472600
2010-04-30,111.809998,112.000000,110.040001,110.099998,83.953400,14615900
2010-05-03,110.570000,111.820000,110.570000,111.540001,85.051476,8324800
2010-05-04,110.510002,110.540001,108.699997,109.360001,83.389153,19911700
2010-05-05,108.550003,109.559998,108.250000,108.800003,82.962120,18900400
2010-05-06,108.370003,109.150002,99.160004,105.260002,80.262840,34425300
2010-05-07,105.019997,105.940002,102.540001,103.779999,79.134293,33885700
2010-05-10,107.570000,108.470001,107.000000,108.000000,82.352104,20454000
2010-05-11,107.139999,108.930000,106.980003,107.669998,82.100487,16440600
2010-05-12,108.080002,109.349998,107.949997,109.260002,83.312866,12985000
2010-05-13,108.949997,109.459999,107.970001,108.099998,82.428391,11160700
2010-05-14,107.449997,107.669998,105.620003,106.510002,81.215965,17962100
2010-05-17,106.690002,106.919998,104.660004,106.519997,81.223595,17552200
2010-05-18,107.290001,107.510002,105.139999,105.389999,80.361923,19213400
2010-05-19,104.959999,105.580002,103.589996,104.769997,79.889206,24115100
2010-05-20,102.970001,103.250000,101.000000,101.110001,77.098358,28708100
2010-05-21,99.300003,101.970001,99.019997,101.839996,77.948761,30840500
